0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
351160551.64910495;139591762.13628873;235324097.49141437;278672124.32835329;nan;252328287.81289476;321473092.98240638;nan;286007724.21682274;736152517.1211524;451951127.10943103;131250238.49823378;206125855.33615041;nan;485484259.93018329;358686548.93975902;nan;nan;406466543.8882944;nan;402837304.60471684;276160423.01733756;168390501.83983997;nan;304732821.49612182;nan;196379760.20086822;274813299.00261885;276160423.01733756;262890686.20725346;278125442.06165642;213070214.54057473
nan;nan;nan;388089354.09886909;943421565.85355389;nan;nan;478953751.36487854;nan;624893544.98629642;499008370.5295921;nan;nan;nan;nan;387272290.42690271;nan;nan;636365383.26223743;227362582.9480314;nan;nan;nan;538840147.67493117;nan;nan;561959810.71025157;nan;nan;nan;nan;nan
nan;nan;396987453.125;424200302.734375;nan;nan;126472107.84249586;772022433.53034019;943520781.61847377;nan;nan;673136326.32742941;181829943.89519602;292889363.94440705;734240846.75766277;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
370596.033;192399.8076;252113.6562;288605.772;nan;359584.23360000004;329306.58600000001;nan;304327.43459999998;337119.87599999999;435253.82160000002;137033.19999999998;224570.07179999998;nan;597250.41840000008;448228.12319999997;nan;nan;427199.97240000003;nan;388667.4768;317111.41559999995;177906.40439999997;nan;187468.16640000002;nan;260809.38879999999;335412.07439999998;258309.29879999996;362002.50180000003;265054.28039999999;229485.48480000001
nan;nan;nan;438220.00799999997;602353.97640000004;nan;nan;367982.538;nan;353529.49440000003;342392.26500000001;nan;nan;nan;nan;375187.5036;nan;nan;376039.40640000004;174498.364;nan;nan;nan;387414.86400000006;nan;nan;427665.8616;nan;nan;nan;nan;nan
nan;nan;512450.0;345025.0;nan;nan;91391.346799999985;572937.64439999999;698491.46120000002;nan;nan;590583.55859999999;178582.20199999999;251096.04519999999;636545.92799999996;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
130138707387249.91;26857428177566.918;59328418610525.727;80426383576664.375;nan;90733273988799.984;105863206740896.81;nan;87039996986689.953;248171645288970.78;196713455250807.22;17985640182176.168;46289698132675.703;nan;289955677369916.37;160773398648353.12;nan;nan;173642496330602.78;nan;156569758741628.31;87573622675722.719;29957748717437.508;nan;57127703287776.469;nan;51217685230679.0;92175698691175.828;71334805225919.828;95167086106944.516;73718338906584.234;48896521480283.805
nan;nan;nan;170068519857921.22;568273731613402.62;nan;nan;176246617011868.97;nan;220918299012829.03;170856606239586.28;nan;nan;nan;nan;145299723858723.81;nan;nan;239298460975440.28;39674398759245.773;nan;nan;nan;208754682529223.41;nan;nan;240331026631972.66;nan;nan;nan;nan;nan
nan;nan;203436220353906.25;146359709450927.75;nan;nan;11558456268360.537;442320714490828.69;659041209425253.87;nan;nan;397543247025384.12;32471591770340.562;73543360967584.078;467378021174862.19;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
